# scale  mvir rvir rs x y z vx vy vz Ax Ay Az b_to_a c_to_a Jx Jy Jz
### CHECK units:  1.0 1147000000000.0 Msun/h 215.053 kpc/h 18.813 kpc/h 63.67773 Mpc/h 61.61941 Mpc/h 70.21552 Mpc/h
0.2656 71840000000.0 105.879 33.679 62.36073 62.84273 65.8369 28.65 -42.89 175.07 5.16749 6.34795 0.09966 0.37289 0.46139 13090000000.0 -36400000000.0 -41020000000.0
0.26223 75760000000.0 107.805 33.895 62.3575 62.84852 65.8165 11.42 -59.85 182.67 1.43457 7.36281 -3.19127 0.41261 0.53341 22230000000.0 -41720000000.0 -46600000000.0
0.25891 73880000000.0 106.937 36.181 62.35566 62.85686 65.79395 7.32 -77.98 201.95 3.18135 -5.40595 5.53715 0.37819 0.39717 23170000000.0 -39740000000.0 -42860000000.0
0.25563 71930000000.0 106.015 45.737 62.3551 62.86706 65.76881 7.74 -89.61 219.69 6.05642 -2.55449 5.98075 0.28283 0.25224 22930000000.0 -37600000000.0 -40640000000.0
0.2524 68850000000.0 104.505 53.045 62.35544 62.87871 65.74168 10.13 -96.14 235.21 5.60003 -0.47984 0.33832 0.48565 0.20539 20790000000.0 -35610000000.0 -38240000000.0
0.2492 64170000000.0 102.108 76.14 62.35603 62.89066 65.71315 15.43 -95.43 243.65 4.44056 -1.86027 2.07452 0.76426 0.28551 15680000000.0 -31090000000.0 -32480000000.0
0.24604 51030000000.0 94.626 57.545 62.35567 62.90179 65.68378 17.51 -91.78 249.25 4.60093 0.83015 -0.26536 0.69108 0.36093 1642000000.0 -21390000000.0 -15380000000.0
0.24292 43280000000.0 89.589 54.967 62.35423 62.91254 65.65403 19.06 -93.02 254.44 4.54189 -0.31658 0.92417 0.61392 0.32757 -3870000000.0 -16320000000.0 -8924000000.0
0.23985 40500000000.0 87.65 64.045 62.35123 62.9235 65.62379 24.82 -94.8 258.78 4.30282 -0.44393 1.54762 0.59554 0.28257 -4909000000.0 -14710000000.0 -7707000000.0
0.23681 37070000000.0 85.12 58.72 62.34726 62.93465 65.59335 32.63 -96.45 261.41 4.1043 -0.43575 1.58049 0.54687 0.26657 -5528000000.0 -13400000000.0 -7767000000.0
0.23381 34250000000.0 82.924 55.365 62.34399 62.94533 65.56367 38.97 -97.42 263.59 4.07192 -0.50567 1.61946 0.58083 0.27419 -5325000000.0 -12490000000.0 -8025000000.0
0.23085 32520000000.0 81.52 51.2 62.33992 62.95614 65.53442 41.72 -98.63 264.63 3.9806 -0.59932 1.71703 0.58969 0.30321 -4788000000.0 -10930000000.0 -7636000000.0
0.22792 30220000000.0 79.57 39.616 62.33507 62.96739 65.50468 48.39 -100.11 265.95 3.82243 -0.64476 1.79884 0.56279 0.34967 -3975000000.0 -8110000000.0 -6087000000.0
0.22504 27800000000.0 77.398 29.189 62.32993 62.97887 65.4754 55.27 -101.69 264.5 4.1032 -0.82949 2.12421 0.55305 0.39776 -3033000000.0 -5174000000.0 -4471000000.0
0.22219 24720000000.0 74.445 20.501 62.32374 62.99003 65.44604 61.91 -102.46 263.25 3.92594 -1.05996 2.14402 0.54823 0.41421 -1836000000.0 -1926000000.0 -2440000000.0
0.21937 23060000000.0 72.755 16.099 62.31574 63.00058 65.41682 61.76 -104.97 263.13 3.93962 -1.14471 2.30596 0.55482 0.44827 -1272000000.0 -978100000.0 -870100000.0
0.21659 22610000000.0 72.282 14.323 62.30657 63.01207 65.3879 63.86 -107.53 265.97 4.14236 -1.04194 2.41779 0.52504 0.45281 -1160000000.0 -756100000.0 -254300000.0
0.21385 22070000000.0 71.714 12.934 62.29827 63.02424 65.35896 61.99 -105.44 260.39 4.20942 -1.14438 2.65399 0.4823 0.44906 -955600000.0 -528700000.0 98110000.0
0.21114 21500000000.0 71.103 11.242 62.29223 63.03594 65.33047 65.08 -102.02 258.92 3.71055 -1.48708 2.76927 0.53969 0.47187 -802600000.0 -388000000.0 211700000.0
0.20847 21500000000.0 71.12 12.693 62.28726 63.04641 65.30463 60.42 -102.68 245.03 3.79601 -1.3058 2.43858 0.54013 0.4536 -709200000.0 -351600000.0 146200000.0
0.20583 21570000000.0 71.208 15.656 62.28295 63.0556 65.28049 62.17 -104.66 241.79 3.37293 -1.32449 2.2422 0.58433 0.446 -565500000.0 -314600000.0 -50140000.0
0.20322 21270000000.0 70.885 19.537 62.27904 63.06521 65.25649 57.03 -95.12 235.53 3.99475 -1.46788 2.35077 0.52058 0.40588 -560300000.0 -207000000.0 59020000.0
0.20064 20420000000.0 69.93 21.976 62.27383 63.07451 65.23235 62.63 -90.22 235.31 3.90552 -1.58128 2.53842 0.44077 0.35037 -543500000.0 -180800000.0 226900000.0
0.1981 19760000000.0 69.179 23.27 62.26745 63.08362 65.20776 67.74 -90.36 237.51 3.93373 -1.60887 2.52662 0.45939 0.32139 -470100000.0 -116000000.0 391300000.0
0.19559 19750000000.0 69.179 22.427 62.25993 63.09333 65.18285 74.05 -91.76 242.2 4.1755 -1.5518 2.5835 0.51876 0.33517 -502300000.0 -236300000.0 248200000.0
0.19312 19510000000.0 68.905 19.141 62.25146 63.1032 65.15765 82.72 -87.71 241.46 4.24966 -1.33532 2.55302 0.55505 0.35166 -590300000.0 -83400000.0 396000000.0
0.19067 18980000000.0 68.28 14.891 62.24257 63.11298 65.13272 84.07 -90.88 241.82 4.47037 -1.334 2.76841 0.54758 0.38388 -464200000.0 -77420000.0 255400000.0
0.18825 18550000000.0 67.778 11.591 62.23353 63.1226 65.10825 90.35 -87.96 243.44 4.13753 -1.6581 2.81174 0.5775 0.41752 -535400000.0 -69690000.0 213500000.0
0.18587 17840000000.0 66.899 8.737 62.22515 63.13235 65.08383 96.57 -91.05 255.74 3.67173 -1.80752 2.88242 0.58946 0.42617 -542600000.0 -143800000.0 195300000.0
0.18351 17240000000.0 66.154 6.692 62.21556 63.14223 65.05736 83.85 -89.15 247.32 3.59339 -1.99359 2.16075 0.67071 0.49191 -460400000.0 -370600000.0 44820000.0
0.18119 16810000000.0 65.6 7.761 62.2043 63.15288 65.02848 91.48 -104.08 262.66 4.36957 -1.43131 1.41402 0.65037 0.54136 -492200000.0 -457000000.0 33930000.0
0.1789 16260000000.0 64.882 10.907 62.19232 63.16501 65.00047 101.7 -111.07 261.6 4.24436 -1.04106 1.60918 0.77231 0.50048 -569400000.0 -489900000.0 86530000.0
0.17663 15420000000.0 63.76 17.427 62.18054 63.1768 64.97456 105.13 -112.4 255.75 3.84295 -1.35883 1.36211 0.82248 0.38407 -575400000.0 -486500000.0 71520000.0
0.17439 14010000000.0 61.757 22.206 62.17021 63.18797 64.94951 99.11 -110.62 249.8 3.72929 -0.18641 -1.2956 0.55545 0.35101 -543300000.0 -356800000.0 135100000.0
