# scale mvir dist vel rvir rs vmax rvmax x y z
0.11162 33340000.0 0.627147854908413 17.776596052877583 8.26 0.762 15.25 2.8433 61.61448 63.28687 64.76132
0.11021 32640000.0 0.626989655467018 18.07588893839269 8.201 0.608 15.09 2.18032 61.60962 63.29091 64.7452
0.10881 31190000.0 0.6263327660153313 14.552628451337574 8.079 1.24 14.21 2.83401 61.60534 63.2959 64.72959
0.10744 28370000.0 0.6260611937124244 16.600055641725245 7.828 1.872 12.94 5.44851 61.60099 63.29978 64.71375
0.10607 26440000.0 0.6251355319481597 21.56035526867665 7.645 3.406 12.1 5.61589 61.5964 63.30347 64.69831
0.10473 26190000.0 0.627324331294857 23.37114359070756 7.622 3.038 12.05 5.95695 61.5908 63.30698 64.68398
0.1034 19320000.0 0.6268833152659977 23.402958180519303 6.886 3.036 10.87 6.75331 61.587 63.3105 64.66866
0.1021 15510000.0 0.62787856272119 24.36263368146975 6.401 1.948 10.36 4.69979 61.5818 63.31439 64.65404
0.1008 13150000.0 0.6281660540953493 23.391444882521153 6.058 1.096 10.39 2.50565 61.57753 63.31778 64.63956
0.09952 12200000.0 0.6286977387951841 23.3301418731474 5.908 1.06 10.49 3.37972 61.5732 63.32146 64.62483
0.09826 11460000.0 0.6285167512271796 23.746991581215692 5.786 0.604 10.75 3.17846 61.56872 63.32465 64.61069
0.09702 10960000.0 0.6365115973835117 59.27596693577139 5.702 0.749 10.7 2.55202 61.56447 63.32775 64.59702
0.09579 10680000.0 0.6323285183014745 26.44712347467797 5.653 0.512 10.76 2.21654 61.55999 63.33155 64.58336
0.09458 10190000.0 0.6339717706999668 31.791530686804776 5.564 0.677 10.26 2.60181 61.55511 63.33467 64.57008
0.09338 9834000.0 0.6349624483728173 34.38672665688331 5.499 1.092 9.84 3.42092 61.55091 63.33775 64.55653
0.0922 9376000.0 0.6364026862599936 32.937676497310136 5.413 1.305 9.61 3.45278 61.54728 63.34167 64.54283
0.09103 8036000.0 0.6391867935297831 38.525525060523265 5.142 1.424 8.91 3.3166 61.54174 63.34411 64.53099
0.08987 6944000.0 0.6376692522554507 38.951075912679336 4.897 2.454 8.5 3.22106 61.53739 63.34725 64.5185
0.08874 6662000.0 0.6370836270551903 54.959521208765594 4.83 2.471 8.18 4.8277 61.53327 63.35052 64.50609
0.08761 5604000.0 0.6372647899406083 55.01719076142097 4.56 4.345 7.79 4.53895 61.52925 63.35343 64.49403
0.0865 4054000.0 0.6373673535248255 52.841112381303 4.093 3.994 7.03 4.08287 61.52538 63.35638 64.48217
0.08541 5076000.0 0.635192333374518 42.88199153787532 4.412 2.462 7.61 4.41023 61.52363 63.35994 64.46632
